id,template,count
760,"SELECT
  column_alias5.new_column,
  column_alias3.new_column,
  ((column_alias3.new_column - column_alias5.new_column) / column_alias5.new_column) * num AS column_alias0
FROM (
  SELECT
    AVG(SAFE_CAST(col_name AS column_alias1)) AS column_alias2
  FROM
    table_name
  WHERE
    col_name = string
    AND col_name IN (string, string, string, string, string)
    AND date >= string
    AND date < string
) AS column_alias3,
(
  SELECT
    AVG(SAFE_CAST(col_name AS column_alias1)) AS column_alias4
  FROM
    table_name
  WHERE
    col_name = string
    AND col_name IN (string, string, string, string, string)
    AND date >= string
    AND date < string
) AS column_alias5",1
761,"SELECT
  column_alias8.new_column,
  column_alias5.new_column,
  ((column_alias5.new_column - column_alias8.new_column)/column_alias8.new_column) * num AS column_alias0,
  column_alias8.new_column,
  column_alias5.new_column,
  ((column_alias5.new_column - column_alias8.new_column)/column_alias8.new_column) * num AS column_alias1
FROM (
  SELECT
    AVG(CAST(col_name AS column_alias2)) AS column_alias3,
    AVG(CAST(col_name AS column_alias2)) AS column_alias4,
  FROM
    table_name
  WHERE
    col_name = string
    AND date >= string
    AND date <string) AS column_alias5,
  (
  SELECT
    AVG(CAST(col_name AS column_alias2)) AS column_alias6,
    AVG(CAST(col_name AS column_alias2)) AS column_alias7,
  FROM
    table_name
  WHERE
    col_name = string
    AND date >= string
    AND date <string) AS column_alias8",1
762,"SELECT
  d.full_name AS name,
  t.year AS year,
  c.name AS constructor_name,
  t.num_unique_rounds AS num_unique_rounds
FROM (
  SELECT
    r.driver_id,
    ra.year,
    MIN_BY(r.constructor_id, ra.round) AS first_constructor_id,
    MAX_BY(r.constructor_id, ra.round) AS last_constructor_id,
    COUNT(DISTINCT ra.round) AS num_unique_rounds
  FROM F1.F1.RESULTS r
  JOIN F1.F1.RACES ra ON r.race_id = ra.race_id
  WHERE ra.year BETWEEN num AND num
  GROUP BY r.driver_id, ra.year
  HAVING
    COUNT(DISTINCT ra.round) >= num
    AND MIN_BY(r.constructor_id, ra.round) = MAX_BY(r.constructor_id, ra.round)
) t
JOIN F1.F1.DRIVERS d ON t.driver_id = d.driver_id
JOIN F1.F1.CONSTRUCTORS c ON t.first_constructor_id = c.constructor_id
ORDER BY name, year",1
763,"SELECT
  date(datetime(col_name / num, string)) AS column_alias0,
  SUM(col_name) AS string,
  SUM(col_name) AS column_alias1,
  COUNT(DISTINCT col_name) AS string,
  SUM(col_name - col_name) AS string,
  CASE WHEN SUM(col_name) = num THEN NULL ELSE SUM(col_name - col_name) / SUM(col_name) END AS string
FROM table_name AS string
JOIN table_name AS string
  ON col_name = col_name
JOIN table_name AS table_alias0
  ON col_name = col_name
WHERE col_name = string
  AND col_name = string
  AND datetime(col_name / num) >= string
  AND datetime(col_name / num) < string
GROUP BY num
ORDER BY num;",1
764,"SELECT
  o.col_name,
  o.col_name,
  o.col_name,
  o.col_name,
  i.col_name
FROM (
  SELECT
    col_name,
    col_name,
    col_name,
    col_name,
    col_name
  FROM
    table_name
  WHERE
    col_name = string
    AND col_name LIKE string
    AND col_name != string
    AND col_name <= num
) o
INNER JOIN (
  SELECT
    col_name,
    col_name
  FROM
    table_name
) i
ON
  o.col_name = i.col_name
ORDER BY
  o.col_name
;",1
765,"SELECT
  reference_name,
  start,
  END,
  reference_bases,
  alt,
  vt,
  POW(hom_ref_count - expected_hom_ref_count, num) / expected_hom_ref_count +
    POW(hom_alt_count - expected_hom_alt_count, num) / expected_hom_alt_count +
    POW(het_count - expected_het_count, num) / expected_het_count AS chi_squared_score,
  total_count,
  hom_ref_count,
  expected_hom_ref_count AS expected_hom_ref_count,
  het_count,
  expected_het_count AS expected_het_count,
  hom_alt_count,
  expected_hom_alt_count AS expected_hom_alt_count,
  alt_freq AS alt_freq,
  alt_freq_from_1KG
FROM (
  SELECT
    reference_name,
    start,
    END,
    reference_bases,
    alt,
    vt,
    alt_freq_from_1KG,
    hom_ref_freq + (num * het_freq) AS hw_ref_freq,
    num - (hom_ref_freq + (num * het_freq)) AS alt_freq,
    POW(hom_ref_freq + (num * het_freq), num) * total_count AS expected_hom_ref_count,
    POW(num - (hom_ref_freq + (num * het_freq)), num) * total_count AS expected_hom_alt_count,
    num * (hom_ref_freq + (num * het_freq)) * (num - (hom_ref_freq + (num * het_freq))) * total_count AS expected_het_count,
    total_count,
    hom_ref_count,
    het_count,
    hom_alt_count,
    hom_ref_freq,
    het_freq,
    hom_alt_freq
  FROM (
    SELECT
      reference_name,
      start,
      END,
      reference_bases,
      STRING_AGG(DISTINCT alternate_base) AS alt,
      vt,
      af AS alt_freq_from_1KG,
      COUNTIF(first_allele IN (num, num) AND second_allele IN (num, num)) AS total_count,
      COUNTIF(first_allele = num AND second_allele = num) AS hom_ref_count,
      COUNTIF((first_allele = num AND second_allele = num) OR (first_allele = num AND second_allele = num)) AS het_count,
      COUNTIF(first_allele = num AND second_allele = num) AS hom_alt_count,
      SAFE_DIVIDE(COUNTIF(first_allele = num AND second_allele = num), COUNTIF(first_allele IN (num, num) AND second_allele IN (num, num))) AS hom_ref_freq,
      SAFE_DIVIDE(COUNTIF((first_allele = num AND second_allele = num) OR (first_allele = num AND second_allele = num)), COUNTIF(first_allele IN (num, num) AND second_allele IN (num, num))) AS het_freq,
      SAFE_DIVIDE(COUNTIF(first_allele = num AND second_allele = num), COUNTIF(first_allele IN (num, num) AND second_allele IN (num, num))) AS hom_alt_freq
    FROM (
      SELECT
        reference_name,
        start,
        END,
        reference_bases,
        vt,
        af,
        call.call_set_name,
        call.genotype[OFFSET(num)] AS first_allele,
        call.genotype[OFFSET(num)] AS second_allele,
        alternate_base
      FROM
        variants,
        json_each(call) AS _je0,
        json_each(alternate_bases) AS _je1
      WHERE
        reference_name = string
        AND start BETWEEN num AND num
    )
    GROUP BY
      reference_name,
      start,
      END,
      reference_bases,
      vt,
      af
  )
)",1
766,"SELECT
  strftime(string, date(datetime(col_name / num)), string) AS string,
  column_alias0 AS column_alias0,
  column_alias1 AS column_alias1,
  column_alias2 AS column_alias2,
  COUNT(DISTINCT col_name) AS string,
  COUNT(DISTINCT col_name) AS string,
  SUM(COALESCE(col_name,num)) - SUM(COALESCE(col_name,num)) AS string
FROM table_name ORDERS
JOIN table_name USERS
  ON col_name = col_name
JOIN table_name ORDER_ITEMS
  ON col_name = col_name
JOIN table_name INVENTORY_ITEMS
  ON col_name = col_name
WHERE
  col_name >= num
  AND col_name < num
  AND col_name >= num
  AND col_name < num
  AND col_name >= num
  AND col_name < num
GROUP BY
  date(datetime(col_name / num, string)),
  column_alias0,
  column_alias1,
  column_alias2
ORDER BY
  string,
  column_alias0,
  column_alias1,
  column_alias2;",1
767,"SELECT
  string,
  string,
  DATE(TO_TIMESTAMP_LTZ(string / num)) AS string,
  string,
  CONCAT(string, string, string) AS string,
  string,
  string,
  string,
  (EXTRACT(YEAR FROM new_table()) - string) AS string,
  CASE
    WHEN (EXTRACT(YEAR FROM new_table()) - string) < num THEN string
    WHEN (EXTRACT(YEAR FROM new_table()) - string) BETWEEN num AND num THEN string
    ELSE string
  END AS string,
  string,
  table_alias2.string AS string
FROM new_table table_alias0
LEFT JOIN new_table table_alias1 
  ON table_alias0.string = table_alias1.string
LEFT JOIN new_table table_alias2 
  ON table_alias1.string = table_alias2.string
WHERE TO_TIMESTAMP_LTZ(string / num) BETWEEN string AND string
  AND table_alias1.string IS NOT NULL
  AND string IS NOT NULL
  AND string IS NOT NULL
ORDER BY string DESC
LIMIT num;",1
768,"SELECT
  table_alias0.col_name AS column_alias0
FROM
  table_name table_alias0
JOIN (
  SELECT
    column_alias0,
    col_name,
    col_name,
    SUM(col_name) AS column_alias1
  FROM
    table_name
  GROUP BY
    column_alias0,
    col_name,
    col_name) b
ON
  table_alias0.col_name = b.col_name
  AND table_alias0.col_name = b.col_name
  AND table_alias0.col_name = b.col_name
WHERE 
    table_alias0.col_name = string AND
    table_alias0.col_name = string AND
    table_alias0.col_name = num
ORDER BY (table_alias0.col_name / b.new_column) DESC
LIMIT num",1
769,"SELECT
  table_alias0.col_name AS column_alias0,
  table_alias0.col_name AS column_alias1,
  datetime(table_alias0.col_name / num) AS column_alias2,
  table_alias0.col_name AS column_alias3,
  (table_alias0.col_name || string || table_alias0.col_name) AS column_alias4,
  table_alias0.col_name AS column_alias5,
  table_alias0.col_name AS column_alias6,
  CAST(table_alias0.col_name AS column_alias7) AS column_alias8,
  (CAST(strftime(string, CURRENT_DATE) AS column_alias9) - CAST(table_alias0.col_name AS column_alias7)) AS column_alias10,
  CASE
    WHEN (CAST(strftime(string, CURRENT_DATE) AS column_alias9) - CAST(table_alias0.col_name AS column_alias7)) < num THEN string
    WHEN (CAST(strftime(string, CURRENT_DATE) AS column_alias9) - CAST(table_alias0.col_name AS column_alias7)) BETWEEN num AND num THEN string
    ELSE string
  END AS string,
  table_alias0.col_name AS column_alias11,
  table_alias2.col_name AS column_alias12
FROM table_name table_alias0
LEFT JOIN table_name table_alias1
  ON table_alias1.col_name = CAST(table_alias0.col_name AS column_alias13)
LEFT JOIN table_name table_alias2
  ON table_alias2.col_name = table_alias1.col_name
WHERE
  table_alias0.col_name IS NOT NULL AND TRIM(table_alias0.col_name) != string
  AND table_alias0.col_name IS NOT NULL
  AND table_alias0.col_name IS NOT NULL AND TRIM(table_alias0.col_name) != string
  AND datetime(table_alias0.col_name / num) BETWEEN datetime(string) AND datetime(string)
ORDER BY table_alias0.col_name DESC
LIMIT num;",1
770,"SELECT
  table_alias0.col_name,
  table_alias0.col_name,
  ROUND(
    (CAST(table_alias1.col_name->string->>string AS column_alias0) /
     (table_alias2.col_name / num)) *
    (CAST(table_alias1.col_name->string->>string AS column_alias0) / num),
  num) AS column_alias1
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
JOIN table_name table_alias2 ON table_alias0.col_name = table_alias2.col_name
WHERE table_alias0.col_name IN (string, string);",1
771,"SELECT
  table_alias0.col_name,
  table_alias1.col_name,
  table_alias0.col_name,
  table_alias0.col_name,
  (table_alias1.col_name - table_alias0.col_name)
FROM
  table_name AS table_alias0
JOIN
  table_name AS table_alias1
ON
  ROUND(table_alias0.col_name, num) = ROUND(table_alias1.col_name, num)
  AND ROUND(table_alias0.col_name, num) = ROUND(table_alias1.col_name, num)
WHERE
  table_alias1.col_name = string
  AND table_alias1.col_name = string
  AND table_alias1.col_name = num
  AND table_alias0.col_name = string
  AND EXTRACT(col_name FROM table_alias0.col_name) = num
ORDER BY
  (table_alias1.col_name - table_alias0.col_name) DESC
LIMIT num",1
772,"SELECT
  table_alias0.col_name,
  table_alias1.col_name,
  table_alias1.col_name,
  table_alias0.col_name,
  table_alias0.col_name,
  table_alias0.col_name,
  ROUND((num - table_alias0.col_name / num) * (table_alias0.col_name / num) * (num - table_alias0.col_name / num) * num, num) AS column_alias0
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
WHERE (num - table_alias0.col_name / num) * (table_alias0.col_name / num) * (num - table_alias0.col_name / num) * num > num
ORDER BY column_alias0 DESC;",1
773,"SELECT
  table_alias2.string AS string,
  table_alias2.string AS string,
  table_alias2.string AS string,
  table_alias2.string AS string,
  column_alias1.string AS string,
  table_alias2.string AS string,
  table_alias2.string AS string,
  table_alias2.string AS string,
  column_alias1.string AS string,
  column_alias1.string AS string,
  column_alias1.string AS string
FROM ( 
  SELECT
    column_alias0.string AS string,
    column_alias0.string AS string,
    table_alias1.string,
    table_alias1.string,
    table_alias1.string
  FROM
    (SELECT
      table_alias0.string,
      table_alias0.string
    FROM
      new_table AS table_alias0
    WHERE
      table_alias0.string = string
      AND table_alias0.string = string
    GROUP BY
      table_alias0.string,
      table_alias0.string
    ORDER BY
      table_alias0.string
    ) AS column_alias0 
  INNER JOIN
    new_table AS table_alias1
  ON
    column_alias0.string = table_alias1.string  ) AS column_alias1
INNER JOIN
  new_table AS table_alias2
ON
  table_alias2.string = column_alias1.string
WHERE
  table_alias2.string IN (string, string, string,string)
ORDER BY
  string,
  string;",1
774,"SELECT
  targets.approvedSymbol AS target_symbol,
  drugs.name AS drug_name,
  source_urls.element.url AS clinical_trial_reference_url,
FROM
  evidence AS evidence,
  json_each(evidence.urls.list) AS _je0
JOIN
  targets AS targets
ON
  evidence.targetId=targets.id
JOIN
  molecule AS drugs
ON
  evidence.drugId=drugs.id
WHERE
  datasourceId=string
  AND diseaseId=string
  AND evidence.clinicalStatus = string",1
775,"SELECT
col_name
FROM
(SELECT
  col_name.col_name,
  SUM(col_name.col_name) AS column_alias0,
  pop.col_name AS column_alias1,
  ROUND((SUM(col_name.col_name) / pop.col_name) * num,num) AS column_alias2
FROM (
  SELECT
    col_name,
    col_name,
    col_name
  FROM
    table_name
  WHERE
    col_name =num
    AND col_name < num) col_name
INNER JOIN (
  SELECT
    col_name,
    col_name
  FROM
    table_name
  WHERE
    col_name = num) pop
ON
  col_name.col_name = pop.col_name
GROUP BY
  num,
  num
ORDER BY
  num DESC
)
LIMIT
num",1
776,"SELECT 
    AVG(TIMESTAMP_DIFF(col_name, col_name, SECOND) / num) AS column_alias0
FROM
(
    SELECT *
    FROM table_name table_alias0
    WHERE 
        col_name BETWEEN string AND string AND 
        col_name BETWEEN string AND string AND
        TIMESTAMP_DIFF(col_name, col_name, SECOND) > num AND 
        col_name > num AND 
        col_name >= num
) table_alias0
INNER JOIN table_name table_alias1
ON table_alias0.col_name = table_alias1.col_name
INNER JOIN table_name table_alias2
ON table_alias0.col_name = table_alias2.col_name
WHERE 
    table_alias1.col_name = string AND
    table_alias2.col_name = string;",1
777,"SELECT 
    CASE 
        WHEN table_alias0.col_name IS NULL THEN string
        ELSE CAST(table_alias0.col_name AS column_alias0),
    COUNT(*) AS column_alias1,
    AVG(table_alias1.col_name) AS column_alias2,
    AVG(table_alias1.col_name + 
        CASE 
            WHEN table_alias2.col_name->>string = string THEN 
                CAST((COALESCE((table_alias2.col_name->string->>string) AS column_alias3),num)/num) / table_alias1.col_name
            WHEN table_alias2.col_name->>string = string THEN 
                CAST((COALESCE((table_alias2.col_name->>string) AS column_alias3),num)) / table_alias1.col_name
            ELSE num
        END) AS column_alias4,
    percentile_cont(table_alias1.col_name, num) AS column_alias5
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
LEFT JOIN table_name table_alias2 ON table_alias1.col_name = table_alias2.col_name
GROUP BY ROLLUP(table_alias0.col_name)
HAVING COUNT(*) > num
ORDER BY column_alias4 DESC;",1
778,"SELECT 
    CASE 
        WHEN table_alias1.col_name * (num - table_alias1.col_name) * table_alias1.col_name * (num + table_alias1.col_name/num) < num THEN string
        WHEN table_alias1.col_name * (num - table_alias1.col_name) * table_alias1.col_name * (num + table_alias1.col_name/num) < num THEN string
        ELSE string
    END AS column_alias0,
    COUNT(*) AS column_alias1,
    AVG(table_alias0.col_name/(table_alias0.col_name * num)) AS column_alias2,
    STDDEV(table_alias1.col_name) AS column_alias3
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
GROUP BY column_alias0;",1
779,"SELECT 
    CASE delivery_month 
        WHEN num THEN string
        WHEN num THEN string 
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
        WHEN num THEN string
    END as Month,
    SUM(CASE WHEN delivery_year = num THEN delivered_orders ELSE num END) as string,
    SUM(CASE WHEN delivery_year = num THEN delivered_orders ELSE num END) as string,
    SUM(CASE WHEN delivery_year = num THEN delivered_orders ELSE num END) as string
FROM (
    SELECT 
        CAST(strftime(string, datetime(order_delivered_customer_date, string) AS INTEGER)) as delivery_year,
        CAST(strftime(string, datetime(order_delivered_customer_date, string) AS INTEGER)) as delivery_month,
        COUNT(*) as delivered_orders
    FROM BRAZILIAN_E_COMMERCE.BRAZILIAN_E_COMMERCE.OLIST_ORDERS 
    WHERE order_status = string 
        AND order_delivered_customer_date IS NOT NULL 
        AND order_delivered_customer_date != string
        AND CAST(strftime(string, datetime(order_delivered_customer_date, string) AS INTEGER)) IN (num, num, num)
    GROUP BY delivery_year, delivery_month
) monthly_data
GROUP BY delivery_month
ORDER BY delivery_month",1
780,"SELECT 
    CAST(strftime(string, TO_DATE(w.whsle_date) AS INTEGER)) as year,
    c.category_name,
    ROUND(AVG(w.string), num) as avg_wholesale_price,
    ROUND(MAX(w.string), num) as max_wholesale_price,
    ROUND(MIN(w.string), num) as min_wholesale_price,
    ROUND(MAX(w.string) - MIN(w.string), num) as wholesale_price_difference,
    ROUND(SUM(w.string * t.string), num) as total_wholesale_price,
    ROUND(SUM(t.string * t.string), num) as total_selling_price,
    ROUND(AVG(l.string), num) as avg_loss_rate,
    ROUND(SUM(w.string * t.string * l.string / num), num) as total_loss,
    ROUND(SUM(t.string * t.string) - 
          SUM(w.string * t.string) - 
          SUM(w.string * t.string * l.string / num), num) as profit
FROM VEG_WHSLE_DF w
JOIN VEG_TXN_DF t ON w.item_code = t.item_code AND w.whsle_date = t.txn_date
JOIN VEG_CAT c ON w.item_code = c.item_code
JOIN VEG_LOSS_RATE_DF l ON w.item_code = l.item_code
WHERE CAST(strftime(string, TO_DATE(w.whsle_date) AS INTEGER)) BETWEEN num AND num
    AND t.string = string
GROUP BY CAST(strftime(string, TO_DATE(w.whsle_date) AS INTEGER)), c.category_name
ORDER BY year, c.category_name",1
781,"SELECT 
    EXTRACT(YEAR FROM new_table(CURRENT_DATE, table_alias1.col_name)) AS column_alias0,
    AVG(table_alias2.col_name / table_alias0.col_name * num) AS column_alias1,
    COUNT(*) AS column_alias2
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
JOIN table_name table_alias2 ON table_alias0.col_name = table_alias2.col_name
GROUP BY column_alias0
ORDER BY column_alias0;",1
782,"SELECT 
    col_name AS column_alias0,
    COUNT(*) AS column_alias1,
    SUM(CASE WHEN table_alias1.col_name = string THEN num ELSE num END) AS column_alias2,
    SUM(CASE WHEN table_alias1.col_name = CAST(string THEN num ELSE num END) AS column_alias3)/ 
    NULLIF(COUNT(*),num) AS column_alias4
FROM column_alias1e_alias0
LEFT JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
GROUP BY col_name
ORDER BY col_name;",1
783,"SELECT 
    col_name AS column_alias0,
    col_name AS column_alias1,
    col_name AS column_alias2,
    ROUND((col_name * col_name) / (col_name * num), num) AS column_alias3
FROM table_name
JOIN table_name ON table_name.col_name = table_name.col_name
WHERE (col_name * col_name) / (col_name * num) > num
ORDER BY column_alias3 DESC;",1
784,"SELECT 
    col_name AS column_alias0,                           
    col_name,                                              
    CAST((col_name->>string) AS column_alias1),  
    CAST((col_name->>string) AS column_alias1),  
    col_name * (num - CAST(((col_name->>string) AS column_alias1)/ num)) * CAST(((col_name->>string) AS column_alias1)) AS column_alias2  
FROM table_name;",1
785,"SELECT 
    col_name(claims.col_name)               AS column_alias0,
    claims.col_name,
    SUM(claims.col_name) AS column_alias1,
    SUM(claims.col_name) AS column_alias2
FROM new_table.new_column.fema_national_flood_insurance_program_claim_index claims
WHERE 
    claims.col_name = string 
    AND column_alias0 >=num AND column_alias0 <=num
GROUP BY column_alias0, claims.col_name
ORDER BY column_alias0, claims.col_name;",1
786,"SELECT 
    col_name,
    ((col_name + col_name)/num) * (num - col_name/num) AS column_alias0,
    col_name * (((col_name + col_name)/num) * (num - col_name/num)) * num AS column_alias1
FROM new_table.new_column
WHERE col_name * (((col_name + col_name)/num) * (num - col_name/num)) * num > num;",1
787,"SELECT 
    col_name, 
    col_name,
    ROUND((json_extract(col_name, string)) AS column_alias0), num) AS column_alias1,
    ROUND((json_extract(col_name, string)) AS column_alias0), num) AS column_alias2,
    ROUND(
        CASE 
            WHEN col_name = string THEN num 
            WHEN col_name = string THEN num 
            WHEN col_name = string THEN num 
            ELSE num 
        END * (num - (json_extract(col_name, string)) AS column_alias0)/num), 
        num
    ) AS column_alias3,
    ROUND(
        CASE 
            WHEN (json_extract(col_name, string)) AS column_alias0)(CASE 
                    WHEN col_name = string THEN num 
                    WHEN col_name = string THEN num 
                    WHEN col_name = string THEN num 
                    ELSE num 
                END)
                * (num + num * ((json_extract(col_name, string)) AS column_alias0)/num))
                * (num - num * (num - (json_extract(col_name, string)) AS column_alias0)))
            ELSE NULL 
        END, 
        num
    ) AS column_alias4
FROM new_table.new_column;",1
788,"SELECT 
    col_name, 
    col_name,
    col_name,
    col_name,
    CASE 
        WHEN col_name = string THEN num * (num - col_name/col_name)
        WHEN col_name = string THEN num * (num - col_name/col_name)
        ELSE num 
    END AS column_alias0
FROM new_table.new_column;",1
789,"SELECT 
    col_name, 
    col_name, 
    col_name,
    CASE 
        WHEN col_name IN (string, string) THEN col_name * num
        WHEN col_name = string THEN col_name * num
        WHEN col_name = string THEN col_name * num
        WHEN col_name = string THEN col_name * num
        ELSE num 
    END AS column_alias0
FROM new_table.new_column;",1
790,"SELECT 
    column_alias4,
    column_alias3,
    column_alias3 - column_alias4 AS column_alias0,
    ROUND(((column_alias3 * num / column_alias4) - num) * num, num) AS column_alias1,
    string AS column_alias2
FROM (
    SELECT 
        SUM(CASE WHEN column_alias5 BETWEEN num AND num THEN col_name END) AS column_alias3,
        SUM(CASE WHEN column_alias5 BETWEEN -num AND num THEN col_name END) AS column_alias4
    FROM (
        SELECT 
            col_name,
            ROUND((JULIANDAY(col_name) - JULIANDAY(string)) / num) + num AS column_alias5,
            col_name 
        FROM table_name
    ) add_delta_weeks
) AS column_alias6
UNION ALL
SELECT 
    column_alias4,
    column_alias3,
    column_alias3 - column_alias4 AS column_alias0,
    ROUND(((column_alias3 * num / column_alias4) - num) * num, num) AS column_alias1,
    string AS column_alias2
FROM (
    SELECT 
        SUM(CASE WHEN column_alias5 BETWEEN num AND num THEN col_name END) AS column_alias3,
        SUM(CASE WHEN column_alias5 BETWEEN -num AND num THEN col_name END) AS column_alias4
    FROM (
        SELECT 
            col_name,
            ROUND((JULIANDAY(col_name) - JULIANDAY(string)) / num) + num AS column_alias5,
            col_name 
        FROM table_name
    ) add_delta_weeks
) AS column_alias6
UNION ALL
SELECT 
    column_alias4,
    column_alias3,
    column_alias3 - column_alias4 AS column_alias0,
    ROUND(((column_alias3 * num / column_alias4) - num) * num, num) AS column_alias1,
    string AS column_alias2
FROM (
    SELECT 
        SUM(CASE WHEN column_alias5 BETWEEN num AND num THEN col_name END) AS column_alias3,
        SUM(CASE WHEN column_alias5 BETWEEN -num AND num THEN col_name END) AS column_alias4
    FROM (
        SELECT 
            col_name,
            ROUND((JULIANDAY(col_name) - JULIANDAY(string)) / num) + num AS column_alias5,
            col_name 
        FROM table_name
    ) add_delta_weeks
) AS column_alias6
ORDER BY column_alias2;",1
791,"SELECT 
    cv.col_name, 
    (num - ((cv.col_name + cv.col_name)/num)) * (cv.col_name/num) * (ef.col_name/num) AS column_alias0
FROM new_table.new_column cv
LEFT JOIN new_table.new_column ef ON cv.col_name = ef.col_name;",1
792,"SELECT 
    json_object(
        string, table_alias0.col_name, 
        string, ROUND((table_alias0.col_name * 
            CASE 
                WHEN table_alias0.col_name = string THEN num 
                WHEN table_alias0.col_name = string THEN num 
                ELSE num 
            CAST(END) AS column_alias0), num), 
        string, 
            CASE 
                WHEN table_alias1.col_name = string AND table_alias1.col_name = string THEN num 
                WHEN table_alias1.col_name = string OR table_alias1.col_name = string THEN num 
                ELSE num 
            END
    ) AS column_alias1
FROM table_name table_alias0
LEFT JOIN table_name table_alias1 
    ON table_alias0.col_name = table_alias1.col_name
WHERE table_alias0.col_name * 
    CASE 
        WHEN table_alias0.col_name = string THEN num 
        WHEN table_alias0.col_name = string THEN num 
        ELSE num 
    END > num 
    AND CASE 
        WHEN table_alias1.col_name = string AND table_alias1.col_name = string THEN num 
        WHEN table_alias1.col_name = string OR table_alias1.col_name = string THEN num 
        ELSE num 
    END < num
ORDER BY table_alias0.col_name * 
    CASE 
        WHEN table_alias0.col_name = string THEN num 
        WHEN table_alias0.col_name = string THEN num 
        ELSE num 
    END DESC
LIMIT num",1
793,"SELECT 
    table_alias0.col_name AS column_alias0,
    table_alias0.col_name AS column_alias1,
    CAST(ROUND(AVG(table_alias0.col_name) AS column_alias2), num) AS column_alias3,
    CAST(ROUND(AVG(table_alias0.col_name) AS column_alias2), num) AS column_alias4,
    CAST(ROUND(AVG(table_alias0.col_name) AS column_alias2), num) AS column_alias5,
    CAST(ROUND(AVG(table_alias1.col_name) AS column_alias2), num) AS column_alias6,
    ROUND(
        AVG(
            table_alias1.col_name * LOG(num, COALESCE(table_alias2.col_name, num)) /
            (table_alias0.col_name * (table_alias0.col_name + table_alias0.col_name) / num)
        CAST() AS column_alias2),
        num
    ) AS column_alias7,
    CASE 
        WHEN AVG(
            table_alias1.col_name * LOG(num, COALESCE(table_alias2.col_name, num)) /
            (table_alias0.col_name * (table_alias0.col_name + table_alias0.col_name) / num)
        ) < num THEN string
        ELSE string
    END AS column_alias8,
    COUNT(*) AS column_alias9
FROM table_name table_alias0
JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
LEFT JOIN table_name table_alias2 ON table_alias1.col_name = table_alias2.col_name
WHERE table_alias0.col_name > num AND (table_alias0.col_name + table_alias0.col_name) > num
GROUP BY table_alias0.col_name, table_alias0.col_name
ORDER BY 
    CASE 
        WHEN AVG(
            table_alias1.col_name * LOG(num, COALESCE(table_alias2.col_name, num)) /
            (table_alias0.col_name * (table_alias0.col_name + table_alias0.col_name) / num)
        ) < num THEN num
        ELSE num
    END,
    column_alias7;",1
794,"SELECT 
    table_alias0.col_name AS column_alias0,
    table_alias1.col_name AS column_alias1,
    table_alias2.col_name AS column_alias2,  
    CAST((table_alias0.col_name->string->>string) AS column_alias3),  
    CAST((table_alias2.col_name->string->>num) AS column_alias3),  
    ROUND(
        CAST(((table_alias0.col_name->string->>string) AS column_alias3)*
         (num + table_alias1.col_name * (num - table_alias2.col_name) / num) *
         (num / CAST(((table_alias2.col_name->string->>num) AS column_alias3)))
        ), num
    ) AS column_alias4  
FROM table_name table_alias0
INNER JOIN table_name table_alias1 ON table_alias0.col_name = table_alias1.col_name
INNER JOIN table_name table_alias2 ON table_alias2.col_name = table_alias1.col_name;",1
795,"SELECT 
    table_alias0.col_name AS column_alias0,
    table_alias1.col_name AS column_alias1, 
    column_alias2,
    column_alias3,
    column_alias4
FROM
(
SELECT *,
    TIMESTAMP_DIFF(col_name,col_name,SECOND) as column_alias2,
    ROUND(col_name / (TIMESTAMP_DIFF(col_name, col_name, SECOND) / num), num) AS column_alias3,
    (CASE WHEN col_name=num THEN num
          ELSE (col_name*num/col_name) END) as column_alias4
FROM table_name
) t
INNER JOIN table_name table_alias0
ON t.col_name = table_alias0.col_name
INNER JOIN table_name table_alias1
ON t.col_name = table_alias1.col_name
WHERE 
    col_name BETWEEN string AND string 
    AND col_name BETWEEN string AND string
    AND TIMESTAMP_DIFF(col_name,col_name,SECOND) > num
    AND col_name > num
    AND col_name >= num
    AND col_name >= num 
    AND col_name >= num 
    AND col_name >= num 
    AND col_name >= num
    AND col_name >= num
ORDER BY col_name DESC
LIMIT num;",1
796,"SELECT 
    table_alias0.col_name,
    (CASE table_alias0.col_name 
        WHEN string THEN num 
        WHEN string THEN num 
        ELSE num 
     END * num) +
    (table_alias0.col_name * num) +
    (CASE table_alias0.col_name
        WHEN string THEN num
        WHEN string THEN num
        WHEN string THEN num
        ELSE num
     END * num) +
    (table_alias0.col_name * num) +
    (table_alias0.col_name/num) AS column_alias0
FROM table_name table_alias0
WHERE table_alias0.col_name > num
ORDER BY column_alias0 DESC;",1
