id	generalized_template	count
558	SELECT ( SELECT CAST(SUM(variable) AS variable) / COUNT(`DATE`) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable AND variable.`DATE` LIKE variable AND variable = variable ) - ( SELECT CAST(SUM(variable) AS variable) / COUNT(`DATE`) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`DATE` LIKE variable AND variable = variable )	1
559	SELECT ( SELECT COUNT(variable) FROM variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable ) - ( SELECT COUNT(variable) FROM variable GROUP BY variable ORDER BY COUNT(variable) ASC LIMIT variable ) AS variable	1
560	SELECT ( SELECT COUNT(variable) FROM variable WHERE variable <= variable AND variable IN ( SELECT variable FROM variable WHERE STRFTIME(variable, variable) = variable ) ), variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable <= variable AND STRFTIME(variable, variable) = variable GROUP BY variable, variable ORDER BY SUM(variable) DESC LIMIT variable	1
561	SELECT ( SELECT COUNT(variable) FROM variable WHERE variable IN (variable, variable) ), ( SELECT COUNT(variable) FROM variable WHERE variable IN (variable, variable) ), ( SELECT COUNT(variable) FROM variable WHERE variable IN (variable, variable) ), ( SELECT COUNT(variable) FROM variable WHERE variable IN (variable, variable))	1
562	SELECT ( SELECT COUNT(variable) AS variable FROM variable variable INNER JOIN variable variable ON variable = variable WHERE variable = variable AND variable = variable ) AS variable , CASE WHEN variable THEN variable END AS variable FROM ( SELECT variable * COUNT(variable) / ( SELECT COUNT(variable) FROM variable variable INNER JOIN variable variable ON variable = variable WHERE variable = variable AND variable = variable ) AS variable FROM variable variable INNER JOIN variable variable ON variable = variable WHERE variable = variable AND variable = variable GROUP BY variable ) AS variable	1
563	SELECT ( SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ) - ( SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ) AS variable	1
564	SELECT ( SELECT MAX(MAX(variable), MAX(variable)) FROM variable WHERE variable = variable ) AS variable, variable FROM variable WHERE variable = variable AND variable = variable OR variable = variable	1
565	SELECT ( SELECT REPLACE(`variable variable`, variable, variable) FROM `variable variable` WHERE REPLACE(`variable variable`, variable, variable) = ( SELECT REPLACE(`variable variable`, variable, variable) FROM `variable variable` ORDER BY REPLACE(`variable variable`, variable, variable) DESC LIMIT variable ) ORDER BY REPLACE(`variable variable`, variable, variable) DESC LIMIT variable ) / ( SELECT REPLACE(`variable variable`, variable, variable) FROM `variable variable` WHERE REPLACE(`variable variable`, variable, variable) = ( SELECT REPLACE(`variable variable`, variable, variable) FROM `variable variable` ORDER BY REPLACE(`variable variable`, variable, variable) ASC LIMIT variable ) ORDER BY REPLACE(`variable variable`, variable, variable) ASC LIMIT variable )	1
566	SELECT ( SELECT variable - variable FROM variable WHERE variable != variable ORDER BY variable DESC LIMIT variable ) , ( SELECT variable - variable FROM variable WHERE variable != variable ORDER BY variable LIMIT variable )	1
567	SELECT ( SELECT variable FROM variable WHERE variable = variable ) - ( SELECT variable FROM variable WHERE variable = variable ) AS variable	1
568	SELECT ( SELECT variable FROM variable WHERE variable = variable OR variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable ) variable , ( SELECT SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable ) variable	1
569	SELECT ( SELECT variable FROM variable WHERE variable LIKE variable AND variable LIKE variable ORDER BY variable LIMIT variable, variable ) - variable FROM variable WHERE variable LIKE variable AND variable LIKE variable AND variable = variable	1
570	SELECT ( SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable ) AS variable , ( SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable ORDER BY COUNT(variable) LIMIT variable ) AS variable	1
571	SELECT ( SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ) - ( SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable )	1
572	SELECT (CAST(SUM(CASE WHEN variable BETWEEN variable AND variable THEN variable ELSE variable END) AS variable) / SUM(CASE WHEN variable BETWEEN variable AND variable THEN variable ELSE variable END)) - (CAST(SUM(CASE WHEN variable > variable THEN variable ELSE variable END) AS variable) / SUM(CASE WHEN variable > variable THEN variable ELSE variable END)) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
573	SELECT (MAX(CAST(SUBSTR(variable, variable, variable) AS variable)) - MIN(CAST(SUBSTR(variable, variable, variable) AS variable))) * variable / MIN(CAST(SUBSTR(variable, variable, variable) AS variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
574	SELECT (MAX(variable) - MIN(variable)) * variable / MIN(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
575	SELECT (SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END)) * variable AS variable FROM variable AS variable WHERE variable = variable	1
576	SELECT (SUM(CASE WHEN variable = variable THEN variable ELSE variable END) + SUM(CASE WHEN variable = variable THEN variable ELSE variable END) + SUM(CASE WHEN variable = variable THEN variable ELSE variable END)) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
577	SELECT (SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - AVG(variable)) * variable / AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
578	SELECT (variable - variable) / variable , (variable - variable) / variable , (variable - variable) / variable FROM variable WHERE SUBSTR(CAST(DATE AS variable), variable, INSTR(DATE, variable) - variable) = variable AND SUBSTR(CAST(DATE AS variable), -variable) = variable AND variable = variable	1
579	SELECT (variable - variable) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
580	SELECT (variable - variable) * variable / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
581	SELECT (variable - variable) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
582	SELECT (variable - variable) * SUM(variable), variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable, variable, variable, variable, variable ORDER BY SUM(variable) DESC LIMIT variable	1
583	SELECT * FROM ( SELECT variable, variable, variable, variable, ROW_NUMBER() OVER(PARTITION BY variable ORDER BY DATE(SUBSTR(variable,variable,variable)||variable||SUBSTR(variable,variable,variable)||variable||SUBSTR(variable,variable,variable)) DESC) variable FROM variable-variable-variable.variable AS variable JOIN variable-variable-variable.variable AS variable USING (variable) JOIN variable-variable-variable.variable AS variable USING (variable) JOIN variable-variable-variable.variable AS variable USING (variable) JOIN variable-variable-variable.variable AS variable USING (variable) ) AS variable WHERE variable = variable AND variable = variable SELECT * FROM ( SELECT variable, END, ROUND( variable(ABS(variable - (variable / variable) * variable) - variable, variable) / ((variable / variable) * variable) + variable(ABS(variable - (variable / variable) * variable) - variable, variable) / ((variable / variable) * variable) + variable(ABS(variable - (variable / variable) * variable) - variable, variable) / ((variable / variable) * variable) + variable(ABS(variable - (variable / variable) * variable) - variable, variable) / ((variable / variable) * variable), variable ) AS variable FROM ( SELECT variable, variable, END, variable, variable, variable, SUM(variable + variable) AS variable, SUM(variable) AS variable, SUM(variable) AS variable, SUM(IF(variable, CAST(variable + variable AS variable), variable)) AS variable, SUM(IF(NOT variable, CAST(variable + variable AS variable), variable)) AS variable, SUM(IF(variable, variable, variable)) AS variable, SUM(IF(variable, variable, variable)) AS variable, SUM(IF(NOT variable, variable, variable)) AS variable, SUM(IF(NOT variable, variable, variable)) AS variable FROM ( SELECT variable, variable, variable, variable, variable, variable, (variable = variable) AS variable, IF(variable[variable(variable)] = variable, variable, variable) AS variable, IF(variable[variable(variable)] = variable, variable, variable) AS variable FROM variable AS variable, variable(variable) AS variable JOIN variable AS variable ON variable(variable, variable) = variable WHERE variable = variable ) GROUP BY variable, variable, END, variable, variable, variable ) WHERE (variable / variable) * variable >= variable AND (variable / variable) * variable >= variable AND (variable / variable) * variable >= variable AND (variable / variable) * variable >= variable ) WHERE variable >= variable ORDER BY variable DESC SELECT * FROM ( SELECT variable AS variable, COUNT(variable) AS variable, variable AS variable, variable AS variable, (COUNT(variable) / variable * variable) AS variable FROM variable variable JOIN variable variable ON variable = variable JOIN ( SELECT SUM(variable) AS variable, variable AS variable FROM variable variable JOIN variable variable ON variable = variable GROUP BY variable ) variable ON variable = variable WHERE variable NOT IN (variable, variable, variable) GROUP BY variable, variable, variable ORDER BY variable DESC LIMIT variable ) UNION ALL ( SELECT variable AS variable, COUNT(variable) AS variable, variable AS variable, variable AS variable, (COUNT(variable) / variable * variable) AS variable FROM variable variable JOIN variable variable ON variable = variable JOIN ( SELECT SUM(variable) AS variable, variable AS variable FROM variable variable JOIN variable variable ON variable = variable GROUP BY variable ) variable ON variable = variable WHERE variable NOT IN (variable, variable, variable) GROUP BY variable, variable, variable ORDER BY variable DESC LIMIT variable )	1
584	SELECT * FROM ( SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable - variable DESC LIMIT variable ) UNION ALL SELECT * FROM ( SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable - variable ASC LIMIT variable )	1
585	SELECT * FROM variable WHERE STRFTIME(variable, variable) BETWEEN variable AND variable AND variable = variable	1
586	SELECT AVG((variable - variable) * variable / variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
587	SELECT AVG(CAST(REPLACE(SUBSTR(variable, variable), variable, variable) AS variable)) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
588	SELECT AVG(CAST(REPLACE(SUBSTR(variable, variable), variable, variable) AS variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
589	SELECT AVG(CAST(variable AS variable) / (variable * variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
590	SELECT AVG(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
591	SELECT AVG(REPLACE(variable.`variable variable`, variable, variable) - REPLACE(variable.`variable variable`, variable, variable)) FROM `variable variable` AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`variable variable` = variable	1
592	SELECT AVG(STRFTIME(variable, variable) - STRFTIME(variable, variable)) FROM variable	1
593	SELECT AVG(STRFTIME(variable, variable) - STRFTIME(variable, variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
594	SELECT AVG(`variable variable`) FROM `variable variable` WHERE `variable variable` = variable	1
595	SELECT AVG(`variable variable`) FROM `variable variable` WHERE variable = variable	1
596	SELECT AVG(variable(variable < variable, variable, NULL)) - AVG(variable(variable >= variable, variable, NULL)) FROM variable	1
597	SELECT AVG(variable(variable = variable, variable, variable)) - AVG(variable(variable = variable, variable, variable)) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable	1
598	SELECT AVG(variable) FROM variable WHERE variable LIKE variable	1
599	SELECT AVG(variable) FROM variable WHERE variable LIKE variable AND variable = variable	1
600	SELECT AVG(variable) FROM variable WHERE variable BETWEEN variable AND variable AND variable = variable	1
601	SELECT AVG(variable) FROM variable;	1
602	SELECT AVG(variable) FROM variable WHERE variable NOT IN ( SELECT variable FROM variable )	1
603	SELECT AVG(variable - STRFTIME(variable, variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
604	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable.`variable` = variable.`variable`	1
605	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	1
606	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND CAST(STRFTIME(variable, variable) AS variable) = variable	1
607	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`variable` = variable	1
608	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE STRFTIME(variable, variable.`DATE`) BETWEEN variable AND variable AND variable = variable AND variable = variable AND variable = variable	1
609	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`variable variable variable variable` = variable	1
610	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable < variable	1
611	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable BETWEEN variable AND variable	1
612	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable BETWEEN variable AND variable	1
613	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN `variable variable` AS variable ON variable = variable WHERE variable = variable	1
614	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE (variable = variable AND variable > variable) OR (variable = variable AND variable > variable)	1
615	SELECT AVG(variable), CAST(COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
616	SELECT AVG(variable), variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
617	SELECT AVG(variable), variable, variable FROM variable AS variable LEFT JOIN variable AS variable ON variable = variable LEFT JOIN variable AS variable ON variable = variable WHERE variable = variable	1
618	SELECT AVG(variable.`variable variable`) FROM variable AS variable INNER JOIN `variable variable` AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
619	SELECT AVG(variable - variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
620	SELECT AVG(variable) * variable AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
621	SELECT AVG(variable) - ( SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
622	SELECT AVG(variable) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable	1
623	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable GROUP BY variable ORDER BY AVG(variable) DESC LIMIT variable	1
624	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable LEFT JOIN variable AS variable ON variable = variable WHERE variable IS NULL	1
625	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE STRFTIME(variable, variable) = variable AND variable = variable	1
626	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND STRFTIME(variable, variable) = variable	1
627	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable LIKE variable	1
628	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable AND variable = variable	1
629	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = ( SELECT variable FROM variable WHERE variable = variable )	1
630	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE SUBSTR(CAST(variable AS variable), -variable) = variable AND variable = variable	1
631	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable IN (variable, variable, variable) AND variable = variable AND variable = variable	1
632	SELECT AVG(variable), variable - AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable, variable	1
633	SELECT AVG(variable), variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable;	1
634	SELECT AVG(variable), variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable GROUP BY variable	1
635	SELECT AVG(variable) FROM variable AS variable INNER JOIN `variable` AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable > variable	1
636	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
637	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
638	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
639	SELECT CASE WHEN ( SELECT variable FROM variable WHERE variable = ( SELECT variable FROM variable WHERE variable = variable ) AND variable = ( SELECT variable FROM variable WHERE variable = variable ) ) > ( SELECT variable FROM variable WHERE variable = ( SELECT variable FROM variable WHERE variable = variable ) AND variable = ( SELECT variable FROM variable WHERE variable = variable ) ) THEN variable ELSE variable END AS variable FROM variable LIMIT variable	1
640	SELECT CASE WHEN ( SELECT variable FROM variable WHERE variable = variable ) > ( SELECT variable FROM variable WHERE variable = variable ) THEN variable ELSE variable END	1
641	SELECT CASE WHEN (SUM(CASE WHEN `DATE` = variable THEN variable ELSE variable END) - SUM(CASE WHEN `DATE` = variable THEN variable ELSE variable END)) > variable THEN variable ELSE variable END FROM variable WHERE variable = variable	1
642	SELECT CASE WHEN COUNT(CASE WHEN variable = variable AND variable = variable THEN variable ELSE NULL END) > COUNT(CASE WHEN variable = variable AND variable = variable THEN variable ELSE NULL END) THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
643	SELECT CASE WHEN COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) - COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) > variable THEN variable ELSE variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
644	SELECT CASE WHEN COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) > COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN `variable variable` AS variable ON variable = variable WHERE variable = variable	1
645	SELECT CASE WHEN COUNT(variable) >= variable THEN variable ELSE variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
646	SELECT CASE WHEN MAX(`variable variable`) THEN variable END FROM `variable variable`	1
647	SELECT CASE WHEN MAX(variable) THEN variable END FROM `variable variable`	1
648	SELECT CASE WHEN SUM(CASE WHEN `variable variable` = variable THEN variable END) > SUM(CASE WHEN `variable variable` = variable THEN variable END) THEN variable ELSE variable END FROM variable	1
649	SELECT CASE WHEN SUM(CASE WHEN variable = variable THEN variable - variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable - variable ELSE variable END) > variable THEN variable ELSE variable END FROM variable WHERE variable IN (variable, variable)	1
650	SELECT CASE WHEN SUM(CASE WHEN variable LIKE variable THEN variable ELSE variable END) > SUM(CASE WHEN variable LIKE variable THEN variable ELSE variable END) THEN variable ELSE variable END FROM variable WHERE variable BETWEEN variable AND variable	1
651	SELECT CASE WHEN SUM(CASE WHEN variable = variable THEN variable ELSE variable END) > SUM(CASE WHEN variable = variable THEN variable ELSE variable END) THEN variable ELSE variable END FROM variable AS variable INNER JOIN `variable-variable` AS variable ON variable = variable	1
652	SELECT CASE WHEN SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END) > variable THEN variable ELSE variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
653	SELECT CASE WHEN SUM(CASE WHEN variable = variable THEN variable ELSE variable END) > SUM(CASE WHEN variable = variable THEN variable ELSE variable END) THEN variable WHEN SUM(CASE WHEN variable = variable THEN variable ELSE variable END) < SUM(CASE WHEN variable = variable THEN variable ELSE variable END) THEN variable END variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	1
654	SELECT CASE WHEN SUM(CASE WHEN variable = variable THEN variable ELSE variable END) > SUM(CASE WHEN variable = variable THEN variable ELSE variable END) THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
655	SELECT CASE WHEN SUM(CAST(STRFTIME(variable, variable) AS variable) - CAST(STRFTIME(variable, variable) AS variable)) = variable THEN variable END FROM variable AS variable INNER JOIN `variable-variable` AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	1
656	SELECT CASE WHEN variable = variable THEN variable ELSE variable END FROM variable WHERE variable = variable	1
657	SELECT CASE WHEN variable IS NULL THEN variable ELSE variable END AS variable FROM variable WHERE variable = variable AND variable = variable	1
658	SELECT CASE WHEN variable = variable THEN variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
659	SELECT CASE WHEN variable = variable THEN variable ELSE variable END variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable + variable DESC LIMIT variable	1
660	SELECT CASE WHEN variable = variable THEN variable WHEN variable = variable THEN variable END variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
661	SELECT CASE WHEN variable IS NULL THEN variable ELSE variable END FROM variable AS variable LEFT JOIN variable AS variable ON variable = variable WHERE variable = ( SELECT MAX(variable) FROM variable )	1
662	SELECT CASE WHEN variable LIKE variable THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	1
663	SELECT CASE WHEN variable.`variable variable variable?` IN (NULL, variable, variable) THEN variable ELSE variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable AND variable = variable AND variable.`DATE variable` = variable	1
664	SELECT CASE WHEN variable.`variable variable variable?` IN (NULL, variable, variable) THEN variable ELSE variable END FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable.`DATE variable` = variable	1
665	SELECT CASE WHEN variable = variable THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
666	SELECT CASE WHEN variable IS NOT NULL THEN variable END + CASE WHEN variable IS NOT NULL THEN variable END + CASE WHEN variable IS NOT NULL THEN variable END + CASE WHEN variable IS NOT NULL THEN variable END AS variable FROM `variable-variable` AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
667	SELECT CASE WHEN variable = variable THEN variable ELSE variable END AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable;	1
668	SELECT CAST( SUM(CASE WHEN variable LIKE variable THEN variable ELSE variable END) AS variable) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN `variable variable` AS variable ON variable = variable WHERE variable = variable	1
669	SELECT CAST(( SELECT COUNT(*) FROM variable WHERE variable = variable AND variable IN ( SELECT variable FROM variable WHERE variable = ( SELECT MAX(variable) FROM variable ) ) ) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
670	SELECT CAST(( SELECT COUNT(variable) FROM variable ) AS variable ) / ( SELECT COUNT(variable) FROM variable )	1
671	SELECT CAST((( SELECT COUNT(variable) FROM variable ) - ( SELECT COUNT(DISTINCT variable) FROM variable )) AS variable) * variable / ( SELECT COUNT(variable) FROM variable )	1
672	SELECT CAST((MAX(variable) - MIN(variable)) AS variable) / MIN(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
673	SELECT CAST((SUM(CASE WHEN variable.`DATE` = variable THEN variable * variable ELSE variable END) - SUM(CASE WHEN variable.`DATE` = variable THEN variable * variable ELSE variable END)) AS variable) * variable / SUM(CASE WHEN variable.`DATE` = variable THEN variable * variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
674	SELECT CAST((SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END)) AS variable) * variable / SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	1
675	SELECT CAST((SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END)) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable;	1
676	SELECT CAST((SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END)) AS variable) * variable / SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN `variable` AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable	1
677	SELECT CAST((SUM(CASE WHEN variable = variable THEN variable END) - SUM(CASE WHEN variable = variable THEN variable END)) AS variable) * variable / SUM(CASE WHEN variable = variable THEN variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
678	SELECT CAST((SUM(variable(variable = variable, variable, variable)) - SUM(variable(variable = variable, variable, variable))) AS variable) * variable / SUM(variable(variable = variable, variable, variable)) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable	1
679	SELECT CAST((SUM(variable(variable IS NOT NULL AND variable = variable, variable, variable)) - SUM(variable(variable IS NULL AND variable = variable, variable, variable))) AS variable) * variable / COUNT(variable), variable(SUM(variable(variable IS NOT NULL AND variable = variable, variable, variable)) - SUM(variable(variable IS NULL AND variable = variable, variable, variable)) > variable, variable, variable) AS variable FROM variable AS variable LEFT JOIN variable AS variable ON variable = variable	1
680	SELECT CAST((SUM(variable) - SUM(variable)) AS variable) * variable / SUM(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
681	SELECT CAST((variable - variable) AS variable) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
682	SELECT CAST(COUNT(*) AS variable) / COUNT(DISTINCT variable) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
683	SELECT CAST(COUNT(CASE WHEN CAST(REPLACE(TRIM(variable, variable), variable, variable) AS variable) > variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	1
684	SELECT CAST(COUNT(CASE WHEN variable < variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) AS variable FROM variable	1
